29;
101;Docktrader Bio, Food Minerals (all);200;2;trade.docktrader;0;0;10003;0;0;1;0;0;0;0;2;15;2;0;2700;-1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;1;1;0;1;0;0;-1;-1;-1;-1;0;0;1;0;0;2;0;80;80;40;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;80;40;40;30;0;0;0;0;0;1;1;0;0;1;0;0;0
102;Docktrader Bio, Food Minerals (Paranid only);14;2;trade.docktrader;0;0;10003;0;0;1;0;0;0;14;2;15;2;0;2700;-1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;1;0;0;2;0;60;80;40;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;60;40;40;30;0;0;0;0;0;1;1;0;0;1;0;0;0
103;Docktrader Hightech (all);140;2;trade.docktrader;0;0;10026;0;0;1;0;0;0;0;9;15;1;0;2700;-1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;1;0;0;2;0;90;90;40;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;60;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;80;40;40;40;0;0;0;0;0;1;0;0;0;1;0;0;0
104;Docktrader Bio, Food, Minerals (Terran);28;2;trade.docktrader;0;0;10003;0;0;1;0;0;0;0;115;9;2;1024;2700;-1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;0;0;1;0;0;2;0;85;90;50;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;40;40;40;0;0;0;0;0;1;1;0;0;1;0;0;0
105;Docktrader Bio, Food, Minerals (Aldrin) (M3);0;0;trade.docktrader;0;0;102001;0;0;0;0;0;0;0;2;0;5;0;2700;SS_SH_LOST_M3H;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;0;0;1;0;0;0;13;10;-1;-1;0;0;1;0;0;2;0;70;100;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;40;40;40;0;1;0;0;0;1;0;0;0;1;0;0;0
106;Docktrader Bio, Food, Minerals (Aldrin) (M6);0;0;trade.docktrader;0;0;102001;0;0;0;0;0;0;0;2;0;5;0;2700;SS_SH_LOST_M6H;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;0;0;1;0;0;0;13;10;-1;-1;0;0;1;0;0;2;0;70;100;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;40;40;40;0;1;0;0;0;1;0;0;0;1;0;0;0
107;Docktrader Hightech (Terran);30;3;trade.docktrader;0;0;10026;0;0;1;0;0;0;0;125;9;1;1024;2700;-1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;0;0;1;0;0;2;0;60;80;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;60;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;60;40;40;40;0;0;0;0;0;1;1;0;0;1;0;0;0
108;Docktrader Hightech (Aldrin) (M3);0;0;trade.docktrader;0;0;102002;0;0;0;0;0;0;0;9;0;5;0;2700;SS_SH_LOST_M3H;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;0;0;1;0;0;0;13;10;-1;-1;0;0;1;0;0;2;0;70;100;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;60;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;70;40;40;40;0;1;0;0;0;1;0;0;0;1;0;0;0
109;Docktrader Hightech (Aldrin) (M6);0;0;trade.docktrader;0;0;102002;0;0;0;0;0;0;0;9;0;5;0;2700;SS_SH_LOST_M6H;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;20;1;0;0;0;0;0;0;0;0;1;0;0;0;13;10;-1;-1;0;0;1;0;0;2;0;70;100;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;60;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;70;40;40;40;0;1;0;0;0;1;0;0;0;1;0;0;0
110;Terran Planetary Supply (TL): Pluto;1;1;trade.planetsupply;create.nearplanet;0;0;0;0;1;0;1;0;0;0;0;0;1024;90;SS_SH_USC_TL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;1;-1;-1;0;0;1;0;0;0;0;100;100;60;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;40;100;10;0;0;0;0;0;1;0;0;0;1;0;0;0
111;Terran Planetary Supply (TL): Neptune;1;1;trade.planetsupply;create.nearplanet;0;0;0;0;1;0;1;0;0;0;0;0;1024;90;SS_SH_USC_TL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;-1;-1;0;0;1;0;0;0;0;100;100;60;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;40;100;10;0;0;0;0;0;1;0;0;0;1;0;0;0
112;Terran Planetary Supply (TL): Uranus;1;1;trade.planetsupply;create.nearplanet;0;0;0;0;1;0;1;0;0;0;0;0;1024;90;SS_SH_USC_TL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;1;-1;-1;0;0;1;0;0;0;0;100;100;60;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;40;100;10;0;0;0;0;0;1;0;0;0;1;0;0;0
