// lensflare body definitions
45;
// 0 small blue sun, very bright 
13;
720; 1.00; 40; 60; 0; 
753; 1.00; 43; 65; 1; 
766; 1.00; 45; 85; 2; 
752; 1.00; 50; 80; 0; 
720; 1.00; 20; 30; 0; 
548; 1.00; 10; 15; 0; 
548; 0.50; 4; 10; 0; 
720; 0.18; 1; 4; 0; 
740; 0.20; 2; 13; 0; 
548; 0.25; 4; 16; 0; 
548; -0.15; 10; 13; 0; 
550; -0.10; 1; 5; 0; 
548; -0.12; 4; 8; 0; 
// 1 yellow sun                 //red sun with no rays/one streak
13; 
//722; 1.00; 60; 100; 0; 
//745; 1.00; 35; 55; 1; 
//744; 1.00; 45; 85; 2; 
//761; 1.00; 80; 140; 0;
11003; 1.00; 40; 60; 2;  
11000; 1.00; 60; 100; 0; 
11001; 1.00; 43; 65; 1;
11002; 1.00; 25; 35; 0;
721; 1.00; 55; 70; 0;  

550; 1.00; 11; 25; 0; 
550; 0.55; 6; 18; 0; 
550; 0.60; 4; 10; 0; 
740; 0.20; 2; 13; 0; 
739; 0.25; 4; 16; 0; 
548; -0.35; 10; 13; 0; 
550; -0.30; 1; 5; 0; 
548; -0.32; 4; 8; 0; 
//720; 1.00; 10; 20; 0;

// 2 red/orange sun                      //with coloured flares
13; 

//745; 1.00; 35; 55; 1; 
//753; 1.00; 45; 85; 2; 
//763; 1.00; 80; 140; 0; 


//11004; 1.00; 25; 35; 1;
11006; 1.00; 15; 27; 0;
11005; 1.00; 43; 72; 1;
11007; 1.00; 25; 42; 2;
11004; 1.00; 23; 37; 0;
722; 1.00; 28; 54; 0; 
778; 0.50; 10; 24; 0; 
550; 0.60; 4; 10; 0; 
550; 0.20; 2; 13; 0; 
61; 0.45; 4; 12; 0; 
549; -0.35; 10; 13; 0; 
549; -0.30; 1; 5; 0; 
745; -0.32; 4; 8; 0; 
550; 1.00; 10; 20; 0;

// 3 green sun                               //yellow sun with big star and ring flares
11; 
61; 1.00; 2; 20; 0;
11008; 1.00; 38; 58; 2; 
11011; 1.00; 25; 55; 1; 
11009; 1.00; 38; 62; 0;
11010; 1.00; 17; 32; 0;
 

61; 0.40; 10; 40; 0; 
719; 0.33; 3; 15; 0; 
61; 0.30; 4; 25; 0; 
741; -0.20; 4; 8; 0; 
548; -0.25; 14; 25; 0; 
 719; 1.00; 45; 73; 0;
// 4 blue sun with long streak
11; 
720; 1.00; 40; 80; 0; 
745; 0.25; 20; 35; 1; 
760; 1.00; 4; 54; 2; 
752; 1.00; 6; 56; 0; 
741; 0.50; 1; 4; 0; 
548; 0.55; 8; 30; 0; 
548; 0.35; 4; 24; 0; 
548; -0.20; 2; 20; 0; 
720; -0.25; 1; 3; 0; 
550; -0.35; 1; 15; 0; 
766; 1.00; 100; 200; 0; 
// 5 green sun with rotating streaks
10;
722; 1.00; 25; 80; 1;  
719; 1.00; 50; 80; 0; 
762; 1.00; 60; 180; 1; 
763; 1.00; 60; 180; 2; 
760; 1.00; 25; 70; 0; 
61; 0.40; 10; 40; 0; 
719; 0.33; 3; 15; 0; 
61; 0.30; 4; 25; 0; 
741; -0.20; 4; 8; 0; 
548; -0.25; 14; 25; 0; 
// 6 red sun 
11; 
